text,category,keywords,campaign_id,action,target_gender,target_age_range,target_city,target_state,target_country,target_income_bucket,target_device,cpc,cpa,budget,date_range,time_range
"Transmission Oil Cooler Assembly for 2014-2017 Toyota Highlander LE, LE Plus, Limited, XLE | V6 3.5L | 32910-48190",Tools & Hardware,"automotive,oils,fluids",8cf1b846-8f97-11f0-b7f6-0e087721c0e9,New Campaign,F,"{'start': '20', 'end': '45'}",All,All,India,M,All,0.00066,0.0529,500,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '18:00:00'}"
Meetrip 35L Lightweight Backpack Hiking Travel Packable Daypack for Women Men,Sports & Fitness,"outdoor,sports,camping,hiking,ping,hiking,bags",9a4110f0-8f97-11f0-b7f6-0e087721c0e9,New Campaign,All,"{'start': '0', 'end': '0'}",All,All,India,All,All,0.00041,0.0542,700,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '7:00:00'}"
"green sprouts Muslin Swaddle Blankets made from Organic Cotton | Generously sized for easy swaddling | Super soft & softer with every wash, Gray Set",Clothing & Accessories,"baby,nursery",a76b7ff4-8f97-11f0-b7f6-0e087721c0e9,New Campaign,All,"{'start': '20', 'end': '40'}",All,All,India,All,All,0.00024,0.0259,800,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '12:00:00'}"
Gan Mao Cha Beverage,Sports & Fitness,"health,household,vitamins",3b8b80d6-8f92-11f0-b7f6-0e087721c0e9,Stop Campaign,All,"{'start': '0', 'end': '0'}",Mumbai,Maharashtra,India,All,All,0.00014,0.0520,900,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '4:00:00', 'end': '12:00:00'}"
Dimensions Stamped Cross Stitch 'Drink Wine' DIY Apron Kit,Arts & Crafts,"arts,crafts,needlework",edfad17e-8f95-11f0-b7f6-0e087721c0e9,Update Campaign,F,"{'start': '25', 'end': '35'}",Delhi,Delhi,India,All,All,0.00039,0.0408,600,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '8:00:00'}"
Citybrix Laptop Backpack Gym Duffel Bag 2 - in - 1 - Black,Home & Kitchen,"luggage,backpacks",d5553022-8f97-11f0-b7f6-0e087721c0e9,New Campaign,F,"{'start': '0', 'end': '0'}",Bangalore,Karnataka,India,All,Android Mobile,0.00011,0.0402,200,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '23:00:00'}"
Turbosmart TS-0505-2002 - 2011 Brown/Grey 5PSI WG38/40/45 Wastegate Inner Spring,Tools & Hardware,"automotive,performance,parts",e4c1fa68-8f97-11f0-b7f6-0e087721c0e9,New Campaign,All,"{'start': '0', 'end': '0'}",Ludhiana,Punjab,India,All,All,0.00047,0.0106,200,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '18:00:00'}"
WonderWink Wonderflex Men's Big Anchor Color Block Top,Tools & Hardware,"industrial,scientific,prof,dental,supplies",0eb2b56e-8f94-11f0-b7f6-0e087721c0e9,Stop Campaign,M,"{'start': '0', 'end': '0'}",Chennai,Tamil Nadu,India,All,All,0.00130,0.0528,400,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '4:00:00', 'end': '12:00:00'}"
"AmazonBasics Microfiber Damp Mop Cleaning Pad, Plain, 18 Inch, 12-Pack",Home & Kitchen,"home,kitchen,cleaning,supplies",fea64eca-8f97-11f0-b7f6-0e087721c0e9,New Campaign,All,"{'start': '25', 'end': '35'}",All,All,India,All,All,0.00055,0.0441,900,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '21:00:00'}"
"100% Real Carbon Fiber License Plate Frame 2 Holes Black Licenses Plates Frames,Car Licence Plate Covers Holders Slim Design with Chrome Screw Caps Tool Kit for US, Canda and Mexico Vehicles(1PCS)",Tools & Hardware,"automotive,exterior,accessories",0dd313e2-8f98-11f0-b7f6-0e087721c0e9,New Campaign,F,"{'start': '35', 'end': '50'}",Coimbatore,Tamil Nadu,India,M,All,0.00068,0.0381,200,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '9:00:00'}"
"POH Floss Refills NoWax Classic 490 300yds (3 Spools, 100yds each)",Tools & Hardware,"industrial,scientific,prof,dental,supplies",1e7cbe14-8f98-11f0-b7f6-0e087721c0e9,New Campaign,All,"{'start': '0', 'end': '0'}",All,All,India,All,All,0.00018,0.0366,600,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '7:00:00'}"
"Great Papers!, Potion Green #10 Envelope, 40 Count, 9.5"" x 4.125"" (2013210)",Clothing & Accessories,"baby,gifts",2d52037c-8f98-11f0-b7f6-0e087721c0e9,New Campaign,All,"{'start': '0', 'end': '0'}",All,All,India,M,Windows Computer,0.00135,0.0187,400,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '0:00:00'}"
ACDelco 18A816A Advantage Non-Coated Front Disc Brake Rotor,Tools & Hardware,"automotive,replacement,parts",3d3eb2ee-8f98-11f0-b7f6-0e087721c0e9,New Campaign,M,"{'start': '25', 'end': '35'}",All,All,India,All,All,0.00058,0.0148,400,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '16:00:00'}"
ORCA Openwater Men's Fullsleeve Wetsuit,Sports & Fitness,"outdoor,sports,water,sports,ater,sports,diving",4e74b5b8-8f98-11f0-b7f6-0e087721c0e9,New Campaign,All,"{'start': '0', 'end': '0'}",All,All,India,All,All,0.00135,0.0304,800,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '17:00:00'}"
Mizuno Women's 9-Spike Swift 3 Switch Softball Cleat,Sports & Fitness,"t,e,a,m,,,s,p,o,r,t,s,,,s,p,o,r,t,s,,,b,a,s,e,b,a,l,l",5e221e88-8f98-11f0-b7f6-0e087721c0e9,New Campaign,All,"{'start': '20', 'end': '40'}",All,All,India,All,All,0.00087,0.0427,600,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '14:00:00'}"
Fisher Price My Little Lamb Deluxe & Platinum - Replacement Seat Pad & Body Support BGB07 / X4398,Clothing & Accessories,"baby,activity,entertainment",6be35bf4-8f98-11f0-b7f6-0e087721c0e9,New Campaign,All,"{'start': '0', 'end': '0'}",Chennai,Tamil Nadu,India,All,All,0.00149,0.0201,700,"{'start': '2025-09-12', 'end': '2025-09-13'}","{'start': '5:00:00', 'end': '15:00:00'}"
